Pond Name,Storm Date,Pond Index,Highest Bounce,Max Bounce Norm,Max Bounce,Decline Rate,Highest Decline Rate,Decline Rate Norm,Highest Inflow Rate,Inflow Rate Norm,Inflow Rate,Temp Variance Max,Temp Range Max,Temp Variance Norm,Temp Range Norm,Temp Variance,Temp Range,Attenuation,Urban Baseflow,Median.Water.Level,Constant.Water.Level,Contant.Water.Level.6in,Outlet.Water.Level,Below.Outlet.Water.Level,Water.Level.25.75.Quantile,Water.Level.10.90.Quantile,Pond.Skewness,L to W ratio,Pond Chain,Pipe,Rectangular Weir,Vnotch Weir,Other Weir,Other,Number of Outlets,Year Built,Pond Age,Total # Veg Species,# Native Species,# Non-native species,% Native Species,% Non-native species,LF Outlet Restrict,HF Outlet Restrict,LF Outlet Restrict Norm,HF Outlet Restrict,Watershed Area ft2,Pond Area ft2,WA/PA,Avg Pond Depth,Max Pond Depth,Res Time,Average Watershed Slope,Impervious Percent Recalc,Commercial Percent,Residential Percent,Greenspace Percent,Canopy Percent,Curve Number,Average Development Age,Total Richness,Plant Richness,Animal Richness,Invert Richness,Vert Richness,Fish Richness,Herp Richness,Amphib Richness,Chloride Change (%),YSI DO Change (%),Secchi Disk Change (%),SPC Change (%),Sulfate Change (%),Temperature Change (%),TN Change (%),TP Change (%),TSS Change (%),Nitrate Change (%),Ammonia Change (%),Secchi Disk Depth (cm),YSI DO (%),YSI DO (mg/L),Temperature (Degrees Celsius),SPC,TSS (mg/L),Chloride (mg/L),Sulfate (mg/L),TN (ug/L),TP (ug/L),Ammonia (ug/L),Nitrate (ug/L),avg_bd (g/cm3),avg_sed_cm,per_om,area est(g om/cm2),Percent.Days.Outflow,Peak Outflow,Chloride Difference,YSI DO Difference,Sulfate Difference,TN Difference,TP Difference,TSS  Difference,Ammonia Difference,Nitrate Difference,SPC Difference,Runoff Depth in,Max Runoff Depth,Runoff Depth Norm,Odor,Odor.Late,Trash Count,Trash.Late,Clar.Late,Odor.Diff,Trash.Diff,Clar.Diff,m_algae,m_sav,m_fl,m_emerg,Comm Percent 100m Buffer,Comm Percent 200m Buffer,Comm Percent 300m Buffer,Res Percent 100m Buffer,Res Percent 200m Buffer,Res Percent 300m Buffer,GS Percent 100m Buffer,GS Percent 200m Buffer,GS Percent 300m Buffer,Mow Distance
Hospital,28-Jul,1,3.500252645,1,3.500252645,-0.030467981,-0.030467981,1,163.6066199,1,163.6066199,4.122886044,8.96777778,0.250243602,0.529364391,1.031725853,4.74722222,18.2062414,35.97560976,1.200469207,49.59807758,63.70151412,45.48528411,83.51267438,0.326466822,0.445722572,1.822630306,0.731292517,0,1,0,0,0,0,4,1995,29,40,21,17,0.525,0.425,51.66953,91.57904,8.82E-06,1.56E-05,5858322.369,41430,141.4029054,103.2222222,235,0.023949691,0.992111,51.88251092,0.941473678,0.013748371,0.044777952,8.823230269,89.81070606,1951.75,29,13,16,10,6,4,2,1,71.09943531,32.63157895,3.448275862,NA,36.7628346,11.0619469,-42.42250773,-35.97441061,-82.85714286,-97.9692676,-78.10834749,58,44,3.8,22.6,NA,8.75,26.9884,4.3223,555.507,42.205,137.742,215.538,0.99168984,19.88888889,0.033704429,0.664772981,7.317073171,250.7786,19.1886,1.24,1.589,-235.66,-15.183,-7.25,-107.588,-211.161,NA,0.89773793,0.89773793,1,-1,1,5,5,60,2,0,2,23.8,40.6,19.6,0,0.717551905,0.784852271,0.809553551,0,0,0,0.282448095,0.215147729,0.190446449,5
Lot60,28-Jul,2,1.448695338,0.771805921,1.118111639,-0.030962218,-0.030962218,1,25.03259609,1,25.03259609,13.94428649,17.04777778,0.028216383,0.219970019,0.39345733,3.75,53.0137844,92.07317073,1.176969177,26.27068181,52.56263026,14.95470205,5.323040279,0.51772291,1.058249376,-0.7221453,4.810810811,0,1,0,0,0,0,2,2014,10,76,58,18,0.763157895,0.236842105,13.200972,16.2225,9.41E-06,1.16E-05,1402934.574,54475,25.75373242,87.22222222,120,0.111114825,0.227592,20.31799907,0.706496428,0,0.293503572,13.62154223,86.94661041,1981.5,50,20,30,24,6,0,6,5,65.26983383,-58.82352941,-41.66666667,NA,-46.78308239,3.111111111,73.3149189,38.49024721,49.39759036,-98.62154525,-59.72230648,60,31.5,2.72,22.5,NA,20.75,130.6026,7.8569,967.357,150.316,131.872,72.545,0.440975654,17.88888889,0.103013589,0.812629339,82.31707317,30.8954,85.2441,-1.6,-3.6757,709.217,57.857,10.25,-78.757,-70.889,NA,0.770458702,2.972951602,0.259156154,0,0,0,0,35,0,0,-25,10,100,82.2,0,0.209558565,0.398293209,0.384797369,0,0,0,0.790441435,0.601706791,0.615202631,58.75
Garner,28-Jul,3,3.278332665,1,3.278332665,-0.023967084,-0.094700794,0.253082186,143.3236655,1,143.3236655,6.235505552,9.36388889,0.48147345,0.746069415,3.002230373,6.98611111,62.9270341,26.70807453,1.424191303,31.44839549,60.32523851,48.31526453,18.66001735,0.312829948,0.793722918,2.402635665,2.206896552,0,0,0,1,0,0,1,1992,32,46,30,16,0.652173913,0.347826087,0.540201,5.053392,1.15E-07,1.08E-06,4699329.554,32388,145.0947744,75.88888889,159,0.01715977,0.8946324,23.07196428,0.662872109,0.025269228,0.311858663,36.73445842,83.92682637,1974.272727,24,5,19,15,4,2,2,2,52.05513517,-0.365630713,233.3333333,NA,-7.544927967,11.40350877,50.22455912,68.75600688,-53.94736842,-98.7565848,-92.59031247,12,63.6,5.47,22.8,NA,38,19.7043,2.6932,500.759,134.221,126.699,175.404,0.530989071,32.11111111,0.073794573,1.258245368,3.726708075,30.02581,10.2571,-0.02,-0.2032,251.504,92.285,-20.5,-117.311,-173.223,NA,0.201522943,0.333521446,0.604227842,-2,0,30,20,40,2,-10,28,47.6,28.2,0,0,0.235814359,0.241602088,0.230451406,0.00950452,0.248799505,0.368767555,0.754681121,0.509598407,0.400781039,229.25
DobA7,28-Jul,4,2.847135627,1,2.847135627,-0.015956654,-0.045084269,0.353929527,249.4473042,1,249.4473042,9.171685176,11.63888889,0.369819863,0.714415274,3.391871358,8.315,37.4153481,100,1.072280931,42.56384685,68.90257122,70.50687248,31.50067207,0.230522677,0.66472948,2.38350052,1.758893281,1,0,0,0,1,0,1,1969,55,37,19,18,0.513513514,0.486486486,49.11947,83.91266,1.05E-06,1.79E-06,46778291.31,186680,250.5800906,63.33333333,171,0.00829222,0.624287,46.94313485,0.842322289,0.103857724,0.053819987,10.33797557,89.25991815,1984.87234,23,8,15,11,4,2,2,2,152.8746404,67.07503828,36.36363636,NA,35.5980548,15.83710407,50.218363,3.699189091,-12.08333333,-98.05954447,-87.62595392,11,74.8,6.53,22.1,NA,48,10.6709,2.1386,585.035,96.805,215.952,190.11,0.945319775,18.66666667,0.033696857,0.594613699,100,250.5936,16.3131,4.38,0.7613,293.795,3.581,-5.8,-189.23,-186.421,NA,0.096420849,0.565102453,0.17062543,-1,0,50,20,15,1,-30,4,0,0.4,0,0,0.007423579,0.339219211,0.593748408,0,0,0,0.992576421,0.660780789,0.406251592,3
Owen,28-Jul,5,3.81124552,1,3.81124552,-0.137076768,-0.156030739,0.878524122,156.0627997,1,156.0627997,6.319221183,13.67222222,0.153435561,0.295774076,0.969593246,4.04388889,4.69079309,34.96932515,1.613186337,8.631353665,22.14660246,12.63777421,75.01123596,1.770612601,2.677166695,0.236462522,1.541666667,1,0,0,0,0,1,1,2007,17,51,39,12,0.764705882,0.235294118,22.23179,24.20726,2.38E-06,2.59E-06,9355776.201,25596,365.5171199,79.11111111,251,0.007100923,1.2463776,15.9658438,0.238042049,0.570716691,0.19124126,66.66742354,77.51786587,1971.191304,29,14,15,6,9,2,7,5,-4.563555784,98.90710383,-17.14285714,NA,-22.35774914,5.349794239,-33.44387281,-49.11409741,-21.40424417,-16.60577881,-51.32160427,35,43.7,3.66,24.3,NA,24.29,6.2276,1.5905,1851.224,432.271,23.986,3.011,0.462516451,21.44444444,0.104298127,1.034471413,23.31288344,174.1895,-0.2842,3.62,-0.3556,-619.121,-212.306,-5.19909091,-12.31,-0.5,NA,0.348129737,1.261947967,0.27586695,-1,-1,2,0,29,0,-2,-6,0,0,63,0.1,0.122175928,0.153567583,0.128710908,0.09974243,0.357315737,0.38258963,0.778081642,0.48911668,0.488699463,101.5
HPChurch,28-Jul,6,5.555487175,1,5.555487175,-0.040040554,-0.040040554,1,137.6269647,1,137.6269647,7.799965071,11.455,0.324369188,0.619186188,2.530068333,7.09277778,0.150047904,100,1.324469073,26.42565973,54.05277837,48.94228706,78.19137524,0.483742043,1.146369409,2.506228898,1.684931507,1,0,1,0,0,0,1,2000,24,67,43,24,0.641791045,0.358208955,156.0725,183.3525,2.68E-06,3.15E-06,58228826.73,159671,364.6800404,59.55555556,104,0.005357909,0.7919103,32.21382276,0.334250136,0.520321166,0.145428698,45.11306301,79.90694143,1982.726212,38,16,22,14,8,3,5,3,7.569973206,-12.42829828,260,NA,-15.27202577,5.833333333,-39.90546043,-24.13782407,-72.0464135,-99.45096274,-84.45989061,15,62.1,5.23,24,NA,31.6,28.2894,2.8251,526.552,128.947,87.760,182.137,0.55546013,19.66666667,0.059759826,0.652819281,19.63190184,1851.045,2.1415,-0.65,-0.43145,-210.123,-31.125,-22.76666667,-74.122,-181.07,NA,1.934030952,1.934030952,1,2,2,0,0,54,0,0,39,4.2,78,22.2,2.8,0,0.17209401,0.283071155,0.135171412,0.410960944,0.450103817,0.864828588,0.416945046,0.266825028,50.86363636
DobA8,28-Jul,7,3.401545816,1,3.401545816,-0.041338368,-0.041338368,1,210.3915428,1,210.3915428,3.832739276,7.61,0.252100892,0.58833406,0.966236992,4.4772222,15.1775707,12.12121212,1.73162149,21.35727277,44.23508015,0.107854333,99.88580129,0.598269088,1.023529815,0.032566532,1.423529412,1,0,1,0,0,0,1,1998,26,45,26,19,0.577777778,0.422222222,55.55979,48.31733,4.51E-06,3.92E-06,12329890.28,50304,245.1075517,106.1111111,191,0.014203298,1.0960939,11.73447728,0.193259913,0.472137069,0.334603017,0.342623873,77.99923201,2001.746479,23,8,15,11,4,2,2,2,-0.594398549,25.42016807,-5,NA,-21.8825071,5.416666667,-14.41047402,-19.84779362,159.5555556,-96.77848265,-27.95023455,40,56.5,4.76,24,NA,11.25,9.926,1.8316,690.241,98.419,24.515,88.747,0.632610775,28,0.04107763,0.727612238,1.212121212,110.823,-0.059,1.21,-0.4008,-99.467,-19.534,17.95,-6.852,-85.888,NA,0.112764042,0.112764042,1,1,-2,5,5,38,-3,0,-2,29.7,6.8,0,0,0.085283283,0.153896482,0.133889156,0.292251963,0.304997676,0.331509167,0.622464754,0.541105842,0.534601677,10
Elver,28-Jul,9,3.620019108,1,3.620019108,-0.044520941,-0.044520941,1,100.0270129,1,100.0270129,6.110211532,11.38277778,0.362310355,0.589291815,2.213792912,6.70777778,0.249089328,43.03030303,1.622837082,29.28314654,56.27828294,59.32332417,61.49080144,0.482540753,1.068733715,0.016939567,2.213414634,1,0,1,0,0,0,1,1968,56,60,41,19,0.683333333,0.316666667,102.5599,74.99122,8.10E-06,5.92E-06,12664505.49,93049,136.1057667,100.1111111,237,0.02413186,1.2160701,19.82099894,0.129629228,0.253059169,0.617311583,0.347671366,70.51125449,1987.255583,30,12,19,14,5,3,2,1,49.44571433,95.76271186,100,NA,-1.088028169,-1.556420233,-13.23675289,-19.64073404,3.571428571,-98.43845157,-10.01405372,30,29,2.36,25.7,NA,7,51.2732,2.84,458.685,116.070,64.040,64.039,0.629364504,23.44444444,0.052428647,0.77358999,35.75757576,658.4761,25.3524,2.26,-0.0309,-60.715,-22.797,0.25,-6.413,-62.924,NA,1.36188125,2.715259286,0.50156582,-1,1,2,20,60,2,18,30,24,35,17.2,0,0,0.068233845,0.100900276,0,0,0.056402711,1,0.931766155,0.842697013,3
TwoFountains,28-Jul,10,1.62389704,1,1.62389704,-0.028023592,-0.028023592,1,70.12561029,1,70.12561029,2.683585783,7.22333333,0.468393186,0.781879711,1.256973295,5.64777778,79.61486453,48.48484848,1.455993034,19.94756206,45.43071003,33.67023301,38.13591576,0.70870095,1.066969898,-0.288019491,0.778145695,1,1,0,0,0,0,1,1988,36,29,11,18,0.379310345,0.620689655,13.11719,10.23678,1.09E-05,8.50E-06,1203934.68,51799,23.24243093,100,200,0.141157347,0.7010321,54.36319086,0.114449641,0.801048372,0.084502023,0.433688906,70.60835713,1982.775,26,9,18,11,7,3,4,2,-2.368141712,94.96932515,20,NA,-21.37863363,7.857142857,-2.736513567,-32.37628729,15.78947368,-86.78384986,3.367984828,50,104.1,8.15,28,NA,4.75,68.4883,1.6306,469.064,67.778,14.237,7.5665,0.629364504,23.44444444,0.052428647,0.77358999,20.60606061,14.50258,-1.6219,7.74,-0.3486,-12.836,-21.944,0.75,0.4795,-6.869,NA,0.474268226,1.027099819,0.461754755,0,0,50,30,60,0,-20,10,,12.5,2,1,0,0.042693188,0.129448023,0.832420385,0.839518762,0.704364322,0.167579615,0.11778805,0.166187655,0
Greentree,28-Jul,11,4.475781178,1,4.475781178,-0.033576509,-0.033576509,1,166.9106513,1,166.9106513,7.503719506,11.18666667,0.386099634,0.742848629,2.897183352,8.31,1.292066844,80.60606061,1.340920376,40.68459554,78.3056366,72.61617827,28.19146687,0.238745623,0.571923596,2.349449243,1.09,1,0,1,0,0,0,1,1972,52,66,35,31,0.53030303,0.46969697,40.51826,129.6276,9.07E-07,2.90E-06,44652977.5,79133,564.277577,316,600,0.018372968,0.8058982,33.70960849,0.446084515,0.458416149,0.09549954,0.185337626,82.23309923,1980.969331,34,10,24,14,10,5,5,3,71.23119124,90.20408163,216.6666667,NA,-1.367972993,2.097902098,-28.28758646,-53.18356902,-84.58195364,-98.5085262,-18.01325371,12,63.3,4.9,28.6,NA,120.8,68.0268,3.4065,923.451,224.308,106.838,143.147,0.629364504,23.44444444,0.052428647,0.77358999,33.33333333,871.6554,48.4563,4.42,-0.0466,-261.222,-119.295,-102.175,-19.245,-141.012,NA,0.371761424,0.507888074,0.7319751,-3,-1,40,10,38,2,-30,26,,13.5,5,3,0,0.05399879,0.094238516,0.085837626,0.397266237,0.484858926,0.914162374,0.548734973,0.420902558,14
